indicator_id,dimension,category,parent_row_sha256
CONS_ALGUNA,Sexo,1,616b3dbebc9b39bf4b36ec09a5a8ffbea62f77751e08b128a8a831252a327c22
CONS_ALGUNA,Sexo,2,9b755e2d532a99688f57b98be6a451f5aeb7a2c48ee4451897b52977ab59eb90
CONS_ALGUNA,Tipo de hogar,1,64d927e4cf2471e262d701cf8592d32a7ac0f809fa48e841cacaacf3cc2863f3
CONS_ALGUNA,Tipo de hogar,2,78a9dbf9ae02f668a4c6ea9f923ac45c0c35770a199492a31653b8dc72e14a56
CONS_ALGUNA,Tipo de hogar,3,8d4f18be4c7cc75d0ce63ff0825163354fc97befb076054f52fc9e4074378a62
CONS_ALGUNA,Área,1,41c0269caf6c2998e84bc8c4a23eab244cbdcbba0eee3b934aced4ce116cdb4c
CONS_ALGUNA,Área,2,5a970bb733742168d2077514d8bd53537f7797f6fc6edc8e1796a18b100f5a5d
CONS_ALGUNA,Área × sexo,Rural Hombre,194aea979218b5851f2c671c9efbeda96ac7c67aeca35d94d8b702068ba96d3b
CONS_ALGUNA,Área × sexo,Rural Mujer,81149281885788ba41ff5d230809b0f765753a576822dc0ff61e72c1464521fd
CONS_ALGUNA,Área × sexo,Urbano Hombre,afc4e663f2ce9b2063166fcfae53a74adf27883238a5e8516d39435ba2852826
CONS_ALGUNA,Área × sexo,Urbano Mujer,8fceb657b1047579cc2d4288094acf42764a5f37e355c3d13b2ba865a7c700de
CONS_ATENCION_SALUD,Discapacidad,0,940db55b5af1c265819ed2e6f79a085f5993ce4da89d029d6111155607bb5afd
CONS_ATENCION_SALUD,Discapacidad,1,78c7e4d72b61ee2eccf3e04f4a9f106f1abee21d9653f6e9c9af5b9364fb75f4
CONS_ATENCION_SALUD,Etnicidad,1,e41251ee65064cbde39d0fde75219e53e5d0c96960cbb786e899395677e3a2c3
CONS_ATENCION_SALUD,Etnicidad,3,1c7731a05778d3925e8914bcd27b602dd6f174851ecee70f8ad3811df4c2607e
CONS_ATENCION_SALUD,Etnicidad,5,d95fd04a72cd4f74b9e99f46e1547b7670716494caf7c39835ee2868f8bcf4fb
CONS_ATENCION_SALUD,Etnicidad,6,ce0fc67c167cd07e4922423f9b31a0036dd7686ef4436f24649a8d8681b2c938
CONS_ATENCION_SALUD,Etnicidad,9,1922dfe43eac67b5da99176f019dffd99833b52a533d0735413af216a685a9ef
CONS_ATENCION_SALUD,Idioma del hogar,1,4d78900836b999bdb1516e569bc1ef3a96ab502f12edd92ae4b75ba655534b8e
CONS_ATENCION_SALUD,Idioma del hogar,3,6dcac78bd35520143e4b4ed1934f63ef4930269c1a57c6995b1f316d0ab7b3a1
CONS_ATENCION_SALUD,Idioma del hogar,4,ab748e0bb25690e3e0d6997f61255eb3a400c80518e167f24d77a7f6a3281802
CONS_ATENCION_SALUD,Nacional,Total,f028073f8a352c644546add07ebd9ebefe408ca9f5b1695e07b82285e1d55f7a
CONS_ATENCION_SALUD,Sexo,1,636d979e17c6ddc44aea15cc7471692e88f218c6a83c4207b0bb28b1cd28642d
CONS_ATENCION_SALUD,Sexo,2,2e56dd9536f4715c5323f7b0b48f8ffd9dc6aaaf727dc0b81fade5c56d262fbf
CONS_ATENCION_SALUD,Tipo de hogar,1,c538a6babf9d15c54f02b124997af7ed09be28891e0c645b1f86c9b52ac10bf0
CONS_ATENCION_SALUD,Tipo de hogar,2,c4d78f4281802b5c587e9e8ad31b9d7d158d06a1faf1856980b870b60ed3bbe5
CONS_ATENCION_SALUD,Tipo de hogar,3,5fa402eaeba0fd71ddf3e85f073c29724ad9558c516178f228ac18fd376e159e
CONS_ATENCION_SALUD,Área,1,b5ac0b301fef5b4820bd803b824f3b454310d0134d397148d28253fcbda2d238
CONS_ATENCION_SALUD,Área,2,3eaa768adb60833d7cc9b3d7e83956a1411c48c36ba93c8630880c29bea0ce3d
CONS_ATENCION_SALUD,Área × sexo,Rural Hombre,df3ad14a75ae94147c4fbc4924fa6dd57a19203281b8d817446193a9d1de2d2c
CONS_ATENCION_SALUD,Área × sexo,Rural Mujer,95e7ca89d0300c4f1da66d1756c2a650b3c6cfd23abd305e464a9f4f42bd6b70
CONS_ATENCION_SALUD,Área × sexo,Urbano Hombre,d051d432aaacb1cd2a13fcbffa640d0f2414e341b389b8f8e3b53e63b0518340
CONS_ATENCION_SALUD,Área × sexo,Urbano Mujer,a5794e9f198a9833788da5c4bc42a7af15adcb7cb01c2f63f558a41b246c3eb8
